cautiously|adv.慎重地；谨慎的
charm|n.魅力；吸引力；迷人；美貌; v.（使）着迷；施魔法
cigar|n.雪茄烟
clench|v.紧握；紧咬；牢牢地抓住；确定; n.牢牢抓住；钉紧
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
charitable|adj.仁慈的；(为)慈善事业的；宽恕的
arrow|n.箭；箭头
aw|int.表示抗议、怀疑、厌恶等的感叹语
burial|n.埋葬；葬礼；坟墓
ambrosia|n.神的食物；特别美味的食物
cha|n.茶
chill|v.(使)变冷；(使)扫兴；[冶]冷淬; n.寒冷；扫兴；寒心；着凉; adj.冷淡的；寒冷的
mischief|n.淘气；恶作剧；捣蛋鬼；损害；伤害
baboon|n.狒狒
behold|vt.看到；注视；领悟; vi.看；看啊(多用于祈使句；引起人的注意)
churn|n.搅乳器; v.搅拌；搅动；翻腾；〈口〉粗制滥造
bestow|v.授予；给予；使用；放置
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
administrator|n.管理人；行政官
bleat|n.羊的鸣声；哀鸣; v.发出羊叫声；哀鸣；哭诉
timber|n.木材；木料
hitch|n.猛拉；急促猛推；跛行；妨碍；免费搭车; vt.拴住；连住；急拉；拉紧；免费搭车; vi.蹒跚；被缠结；免费乘车
brewski|n.啤酒；一瓶啤酒
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
clicking|n.微小静电干扰声
sheriff|n.郡治安官；郡长
desperation|n.绝望；铤而走险
aviator|n.飞行员
cannonball|n.炮弹；抱膝跳水；高速列车；炮弹式发球; v.以极快速度移动；抱膝跳水
amazement|n.惊愕；惊异
aphrodite|n.北美豹蝶; Aphrodite.; n.阿佛洛狄忒（爱与美之女神）
slumber|n.睡眠；微睡；休止状态; v.睡觉；打盹；静止；休眠
brigade|n.旅；队；组; vt.组队；编组
clan|n.氏族；宗族；党派
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
armful|n.一抱之量
beautifully|adv.美丽地；完美地；出色地；很好
ahoy|int.喂（用来呼叫船或人）
bog|n.沼泽; v.使...陷于泥沼；陷于困境
mythical|adj.神话的；虚构的；杜撰出来的
badger|n.獾；獾皮(毛); Badger:獾州人(对威斯康星州人的昵称).; v.纠缠；一再烦扰；吵着要
relative|adj.相对的；比较的；相关的; n.亲戚；[语]关系词
ceiling|n.天花板；上限
courageous|adj.勇敢的；有勇气的，有胆量的
avenge|vt.为...报复；报仇
architect|n.建筑师; n.【喻】缔造者；创造者
await|v.等候；期待；将降临于
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
announcer|n.广播员；告知者
mankind|n.人类；男人
adrift|adv.漂流地；漫无目的地; adj.漂泊的；漫无目的的；松开的
maniac|n.疯子；热衷者；躁狂者
fiercely|adv.猛烈地；厉害地
bang|n.巨响；重击；刘海; v.重击；大声敲；剪成刘海；突然巨响; adv.正好地；准确地
spitting|n.吐出(逆火；点燃导火线)
eternally|adv.不朽地；永久地
blade|n.刀刃；刀锋；桨叶；叶片
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
buddy|n.伙伴；兄弟；好朋友; vi.结交
badminton|n.羽毛球
binding|n.镶边；（书籍的）封皮；（滑雪板的）皮靴固定装置; adj.必须遵守的；有法律约束力的
sword|n.剑；刀
chipmunk|n.[动]花栗鼠
stench|n.臭气；恶臭
ankle|n.踝；踝关节
blacksmithing|n.锻造，手工锻造
awaken|v.醒；意识到；唤醒；激起；使意识到；使唤醒
cellar|n.地窖；地下室; vt.把...藏入地窑
barque|n.三桅船；轻舟
dire|adj.可怕的；悲惨的；极其的
builder|n.建设者；建筑工人；促进剂；增洁剂
sunglasses|n.墨镜；太阳镜
circus|n.马戏团；马戏表演；竞技场；广场
bloodstained|adj.染着血的；犯杀人罪的
