proved|v.证明(证明是；检验；勘探；证明；试印)
elaborate|adj.详尽的；复杂的；精心的；精美的; v.详细地说明；用心制作；推敲；变得复杂
splendid|adj.极好的；辉煌的；壮观的；杰出的
crow|n.乌鸦；啼叫；欢叫; v.报晓；啼叫；欢叫；夸口；洋洋自得
immediate|adj.直接的；最接近的；立即的；目前的
mouthful|n.一口；又长又拗口的词
humble|adj.谦逊的；粗陋的；卑下的；微末的; vt.使...卑下；贬低
bet|v.打赌；确信无疑; n.赌注；确信
practicing|adj.开业的；在工作的
curse|n.诅咒；咒骂；祸端; vt.诅咒；咒骂；使受罪; vi.诅咒；咒骂
hoarse|adj.沙哑的；嘶哑的；刺耳的
turf|n.草皮；泥炭；赛马场；赛马; v.铺草皮
weekly|adj.每周的；一周一次的；周刊的; n.周刊；周报; adv.每周；一周一次
frown|n.皱眉；不悦; v.不同意；皱眉头
barf|v.呕吐
regain|v.恢复；重回；复得
owe|vt.欠（债；钱；人情等）；应当给予；感激；把...归功于
collapsed|adj.倒塌的
robe|n.长袍; v.(使)穿上长袍
prophecy|n.预言; =prophesy.
pitiful|adj.慈悲的；可怜的；凄惨的
enlighten|v.启发；开导；教导
fury|n.愤怒；狂暴；狂怒的人；泼妇; Fury.; n.[罗神]复仇女神
marvelous|adj.令人惊异的；非凡的; =marvellous
loch|n.湖；狭长的海湾
saddle|n.鞍；车座；山脊；当权; vt.装以马鞍；使负担; vi.装马鞍
doggie|n.小狗；狗；汪汪; adj.狗的；像狗一样的; =doggy.
watery|adj.(似)水的；含水过多的；潮湿的；苍白暗淡的
blast|n.爆炸；巨响；一阵(强风)；严厉的批评；愉快的经历; v.爆破；摧毁；发出巨响；用力撞击；批评
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
pretended|adj.假的；虚伪的
sailors|海员
aerobics|n.有氧运动；健美操
script|n.剧本；脚本；手稿；手迹；字体；考卷
destruction|n.破坏；毁灭
cunning|adj.狡猾的；有眼光的；精巧的；可爱的; n.【C】狡诈；灵巧
nearest|adj.最近的
rightful|adj.正确的；合法的；依法享有权利的
quest|n.探索；寻求; v.寻找；搜索
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
beast|n.兽；畜牲
bolt|n.门闩；螺栓；一卷布；弩箭; v.（突然）逃离；闩住；狼吞虎咽；用螺栓固定; adv.挺直地
monstrous|adj.怪异的；畸形的；巨大的
bind|v.捆绑；装订；约束；强迫；团结; n.窘境
paddle|n.桨；划桨；明轮翼; v.划桨；戏水；抚弄
beware|v.小心；谨防
sneeze|n.喷嚏; vi.打喷嚏
stinky|adj.恶臭的
wicked|adj.坏的；邪恶的；缺德的; adv.极端地；非常地; vt.吸收
thoughtfully|adv.深思地；考虑周到地；细心地
freely|adv.自由地；免费地；直率地；大量地
glide|v.滑动；滑翔；溜走; n.滑动；滑过；滑音
silvery|adj.含银的；银色光泽的；银铃般的
blond|adj.金发的; n.金发的人
steaming|n.汽蒸(蒸烘)
finest|adj.好的；出色的
disgrace|n.耻辱; v.耻辱；丢脸
gloomy|adj.阴暗的；忧闷的；前景黯淡的
carcass|n.尸体；残骸；骨架；(人的)身躯
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
sooner|n.抢先占地的人; adv.比预期早; Sooner.; 美国俄克拉荷马州的别名.
tempt|vt.诱惑；怂恿；引诱；吸引
magician|n.魔术师；术士
herbal|adj.草本植物的; n.(草本)植物志
palaces|宫城
hearth|n.炉床；灶台；炉边
grandson|n.孙子；外孙
assist|vt.帮助；协助; vi.帮助；出席; n.帮助；协助；助攻；协助的器械
linger|vi.徘徊；逗留；消磨；漫步
hoot|n.鸣笛声；猫头鹰叫声；一点点；好笑的人或事; v.大声叫嚣；(汽笛、喇叭等)呜呜作响；哄赶
oceans|n.大洋
revive|vt.使重生；恢复精神；唤醒; vi.复生
digest|n.摘要; vt.消化；理解; vi.消化
exquisite|adj.精挑细选的；精致的；细腻的；强烈的; n.过分在意外表着装的人
robbery|n.抢劫
